time,close
2026-09-15T06:55:00Z,1
2026-09-15T07:05:00Z,0
2026-09-16T05:55:00Z,1
2026-09-16T06:05:00Z,0
2026-09-16T12:25:00Z,1
2026-09-16T12:35:00Z,0
2026-09-16T14:25:00Z,1
2026-09-16T14:35:00Z,0
2026-09-16T16:55:00Z,1
2026-09-16T17:05:00Z,0
2026-09-16T17:55:00Z,1
2026-09-16T18:05:00Z,0
2026-09-16T18:25:00Z,1
2026-09-16T18:35:00Z,0
2026-09-17T08:55:00Z,1
2026-09-17T09:05:00Z,0
2026-09-17T10:55:00Z,1
2026-09-17T11:05:00Z,0
2026-09-17T12:25:00Z,1
2026-09-17T12:35:00Z,0
2026-09-18T02:55:00Z,1
2026-09-18T03:05:00Z,0
2026-09-18T10:25:00Z,1
2026-09-18T10:35:00Z,0
